predicted: Blue , actual: Blue
predicted: Puddle , actual: Puddle
predicted: Buildings , actual: Buildings
predicted: Gray , actual: Gray
predicted: Gold , actual: Gold
predicted: Round , actual: Round
predicted: One , actual: One
predicted: Brown , actual: Brown
predicted: Shadow , actual: Shadow
predicted: Ring , actual: Ring
predicted: Vase , actual: Vase
predicted: Gray , actual: Gray
predicted: Clothes , actual: Clothes
predicted: Tent , actual: Tent
predicted: One , actual: One
predicted: Sidewalk , actual: Sidewalk
predicted: Meat , actual: Meat
predicted: Arched , actual: Arched
predicted: Trees , actual: Trees
predicted: Black , actual: Black
predicted: Red , actual: Red
predicted: Ramp , actual: Ramp
predicted: Flying , actual: Flying
predicted: White , actual: White
predicted: One , actual: One
predicted: Brown , actual: Brown
predicted: Black , actual: Black
predicted: Blue , actual: Blue
predicted: Brown , actual: Brown
predicted: Blue , actual: Blue
predicted: Water , actual: Water
predicted: Brown , actual: Brown
predicted: Two , actual: Two
predicted: Down , actual: Down
predicted: Black , actual: Black
predicted: Helmets , actual: Helmets
predicted: 0 , actual: 0
predicted: Road , actual: Road
predicted: Rolled , actual: Rolled
predicted: Catcher , actual: Catcher
predicted: Tennis , actual: Tennis
predicted: Whiskers , actual: Whiskers
predicted: 2 , actual: 2
predicted: Black , actual: Black
predicted: Sand , actual: Sand
predicted: White , actual: White
predicted: Grass , actual: Grass
predicted: Table , actual: Table
predicted: Afternoon , actual: Afternoon
predicted: Golden-brown , actual: Golden-brown
predicted: Truck , actual: Truck
predicted: 2 , actual: 2
predicted: CDs , actual: CDs
predicted: Rocks , actual: Rocks
predicted: Brown , actual: Brown
predicted: Snowboarders , actual: Snowboarders
predicted: Silver , actual: Silver
predicted: Backpack , actual: Backpack
predicted: Blue , actual: Blue
predicted: Black , actual: Black
predicted: One , actual: One
predicted: Mandarin , actual: Mandarin
predicted: Glass , actual: Glass
predicted: 1 , actual: 1
predicted: Round , actual: Round
predicted: Black , actual: Black
predicted: White , actual: White
predicted: Trees , actual: Trees
predicted: Blue , actual: Blue
predicted: Blue , actual: Blue
predicted: Motorcycle , actual: Motorcycle
predicted: Plaid , actual: Plaid
predicted: White , actual: White
predicted: Black , actual: Black
predicted: 1 , actual: 1
predicted: White , actual: White
predicted: Tile , actual: Tile
predicted: Ocean , actual: Ocean
predicted: Green , actual: Green
predicted: Cobblestone , actual: Cobblestone
predicted: Swinging , actual: Swinging
predicted: Cement , actual: Cement
predicted: Water , actual: Water
predicted: Marble , actual: Marble
predicted: Geometric , actual: Geometric
predicted: Two , actual: Two
predicted: Daytime , actual: Daytime
predicted: Snowboard , actual: Snowboard
predicted: Identification , actual: Identification
predicted: Striped , actual: Striped
predicted: Rocks , actual: Rocks
predicted: Frisbee , actual: Frisbee
predicted: Sidewalk , actual: Sidewalk
predicted: Bubbles , actual: Bubbles
predicted: Pots , actual: Pots
predicted: Corner , actual: Corner
predicted: Blue , actual: Blue
predicted: Brown , actual: Brown
predicted: One , actual: One
predicted: Tie , actual: Tie
predicted: White , actual: White
predicted: Gray , actual: Gray
predicted: White , actual: White
predicted: Daytime , actual: Daytime
predicted: White , actual: White
predicted: Sandwich , actual: Sandwich
predicted: Baseball , actual: Baseball
predicted: Goldfish , actual: Goldfish
predicted: Wood , actual: Wood
predicted: 2 , actual: 2
predicted: Up , actual: Up
predicted: One , actual: One
predicted: Vinyl , actual: Vinyl
predicted: Toothbrush , actual: Toothbrush
predicted: Gloves , actual: Gloves
predicted: White , actual: White
predicted: Pizza , actual: Pizza
predicted: Ocean , actual: Ocean
predicted: Onion , actual: Onion
predicted: Three , actual: Three
predicted: Frisbee , actual: Frisbee
predicted: Daytime , actual: Daytime
predicted: One , actual: One
predicted: Sunny , actual: Sunny
predicted: Latte , actual: Latte
predicted: Sun , actual: Sun
predicted: None , actual: None
predicted: Gray , actual: Gray
predicted: Ground , actual: Ground
predicted: Military , actual: Military
predicted: Birthday , actual: Birthday
predicted: Orange , actual: Orange
predicted: Sheep , actual: Sheep
predicted: Grazing , actual: Grazing
predicted: One , actual: One
predicted: Four , actual: Four
predicted: White , actual: White
predicted: Trees , actual: Trees
predicted: Horizon , actual: Horizon
predicted: Roots , actual: Roots
predicted: Stairs , actual: Stairs
predicted: Black , actual: Black
predicted: Clear , actual: Clear
predicted: Dog , actual: Dog
predicted: Looking , actual: Looking
predicted: Small , actual: Small
predicted: Window , actual: Window
predicted: Red , actual: Red
predicted: Metal , actual: Metal
predicted: Green , actual: Green
predicted: One , actual: One
predicted: Morning , actual: Morning
predicted: Corn , actual: Corn
predicted: Red , actual: Red
predicted: Blue , actual: Blue
predicted: Sunny , actual: Sunny
predicted: Daytime , actual: Daytime
predicted: Multi-colored , actual: Multi-colored
predicted: Blue , actual: Blue
predicted: Two , actual: 2
predicted: Gray , actual: Gray
predicted: England , actual: England
predicted: Wood , actual: Wood
predicted: Grey , actual: Grey
predicted: One , actual: One
predicted: Zebra , actual: Zebra
predicted: Tree , actual: Tree
predicted: Daytime , actual: Daytime
predicted: Apron , actual: Apron
predicted: Skater , actual: Skater
predicted: Black , actual: Black
predicted: Water , actual: Water
predicted: Breakfast , actual: Breakfast
predicted: Blue , actual: Blue
predicted: Scene , actual: Scene
predicted: One , actual: One
predicted: Afternoon , actual: Afternoon
predicted: Two , actual: Two
predicted: Surprise , actual: Surprise
predicted: Clouds , actual: Clouds
predicted: Clear , actual: Clear
predicted: Four , actual: Four
predicted: None , actual: None
predicted: Skiing , actual: Skiing
predicted: Tomatoes , actual: Tomatoes
predicted: Upside-down , actual: Upside-down
predicted: One , actual: One
predicted: 2 , actual: 2
predicted: 1 , actual: 1
predicted: Blue , actual: Blue
predicted: Runway , actual: Runway
predicted: Grey , actual: Grey
predicted: Sky , actual: Sky
predicted: Daytime , actual: Daytime
predicted: Two , actual: Two
predicted: Lights , actual: Lights
predicted: Tracks , actual: Tracks
predicted: Roses , actual: Roses
predicted: Baseball , actual: Baseball
predicted: Snow , actual: Snow
predicted: Trees , actual: Trees
predicted: Triangles , actual: Triangles
predicted: Gloves , actual: Gloves
predicted: Laptop , actual: Laptop
predicted: Blue , actual: Blue
predicted: Daytime , actual: Daytime
predicted: Afternoon , actual: Afternoon
predicted: Daytime , actual: Daytime
predicted: Hand , actual: Hand
predicted: Skier , actual: Skier
predicted: Bathroom , actual: Bathroom
predicted: Rectangular , actual: Rectangular
predicted: 1 , actual: 1
predicted: Daytime , actual: Daytime
predicted: Blue , actual: Blue
predicted: Two , actual: Two
predicted: Black , actual: Black
predicted: Two , actual: Two
predicted: Trees , actual: Trees
predicted: Morning , actual: Morning
predicted: Daytime , actual: Daytime
predicted: Leaves , actual: Leaves
predicted: Farm , actual: Farm
predicted: Chicken , actual: Chicken
predicted: Winter , actual: Winter
predicted: Brown , actual: Brown
predicted: Daytime , actual: Daytime
predicted: Four , actual: Four
predicted: Bushes , actual: Bushes
predicted: Blue , actual: Blue
predicted: White , actual: White
predicted: 33 , actual: 33
predicted: Blue , actual: Blue
predicted: Orange , actual: Orange
predicted: Onions , actual: Onions
predicted: Black , actual: Black
predicted: Tree , actual: Tree
predicted: Daytime , actual: Daytime
predicted: Plates , actual: Plates
predicted: 2 , actual: 2
predicted: Elephant , actual: Elephant
predicted: Gray , actual: Gray
predicted: Bear , actual: Bear
predicted: Forward , actual: Forward
predicted: Down , actual: Down
predicted: Two , actual: Two
predicted: Kite , actual: Kite
predicted: White , actual: White
predicted: Dock , actual: Dock
predicted: Baseball , actual: Baseball
predicted: Brown , actual: Brown
predicted: Cut , actual: Cut
predicted: One , actual: One
predicted: Bandanas , actual: Bandanas
predicted: Pilot , actual: Pilot
predicted: Laptop , actual: Laptop
predicted: Three , actual: Three
predicted: White , actual: White
predicted: Green , actual: Green
predicted: Shoes , actual: Shoes
predicted: Wood , actual: Wood
predicted: Black , actual: Black
predicted: Green , actual: Green
predicted: One , actual: One
predicted: White , actual: White
predicted: White , actual: White
predicted: 7 , actual: 7
predicted: Dirt , actual: Dirt
predicted: Winter , actual: Winter
predicted: Trees , actual: Trees
predicted: Clear , actual: Clear
predicted: Wood , actual: Wood
predicted: Clocks , actual: Clocks
predicted: 3 , actual: 3
predicted: Poster , actual: Poster
predicted: Daytime , actual: Daytime
predicted: Two , actual: Two
predicted: Wood , actual: Wood
predicted: Stop , actual: Stop
predicted: Green , actual: Green
predicted: Grass , actual: Fence
predicted: Plane , actual: Plane
predicted: Daytime , actual: Daytime
predicted: Blue , actual: Blue
predicted: Luggage , actual: Luggage
predicted: Zebra , actual: Zebra
predicted: Clear , actual: Clear
predicted: 2 , actual: 2
predicted: Daytime , actual: Daytime
predicted: White , actual: White
predicted: Grass , actual: Grass
predicted: Brown , actual: Brown
predicted: Mirror , actual: Mirror
predicted: Sun , actual: Sun
predicted: Bricks , actual: Bricks
predicted: Dirt , actual: Dirt
predicted: Brown , actual: Brown
predicted: Gray , actual: Gray
predicted: Bat , actual: Bat
predicted: Volume , actual: Volume
predicted: Wood , actual: Wood
predicted: Yellow , actual: Yellow
predicted: Football , actual: Football
predicted: Beets , actual: Beets
predicted: Orange , actual: Orange
predicted: Plane , actual: Plane
predicted: Swimming , actual: Swimming
predicted: Goats , actual: Goats
predicted: Black , actual: Black
predicted: Orange , actual: Orange
predicted: Coffee , actual: Coffee
predicted: Concrete , actual: Concrete
predicted: Kites , actual: Kites
predicted: Green , actual: Green
predicted: Sleeping , actual: Sleeping
predicted: Two , actual: Two
predicted: Purple , actual: Purple
predicted: Benches , actual: Benches
predicted: Wicker , actual: Wicker
